index,x,y,type,patient_count
0,-999,533,village,53
1,-1565,-784,village,58
2,591,-449,village,74
3,642,1565,village,75
4,1120,-396,village,95
5,1450,1489,village,61
6,1207,-227,village,59
7,-735,810,village,36
8,914,-227,village,28
9,-1399,1801,village,89
10,617,1421,village,92
11,-83,-1909,village,24
12,1417,1622,village,98
13,1299,-965,village,87
14,573,-1569,village,66
15,-646,160,village,46
16,205,-1357,village,5
17,-1144,606,village,100
18,-313,1110,village,28
19,954,-928,village,92
20,-1190,181,village,28
21,1473,1911,village,90
22,1786,1420,village,93
23,-1324,-1856,village,69
24,485,1762,village,67
25,808,1425,village,17
26,35,-103,village,98
27,1288,831,village,37
28,-1502,37,village,46
29,127,1660,village,7
30,-136,-1558,village,61
31,-525,52,village,68
32,597,-1106,village,25
33,-155,1598,village,10
34,-1401,-1044,village,29
35,1087,1213,village,85
36,1120,1398,village,15
37,853,78,village,98
38,-231,-1704,village,54
39,-288,-269,village,47
40,-521,-527,village,36
41,1331,-1534,village,44
42,1280,-66,village,86
43,403,1663,village,98
44,-238,1848,village,8
45,1973,624,village,33
46,930,348,village,6
47,-1435,1510,village,29
48,-1434,-1530,village,13
49,-303,1910,village,80
50,1206,1062,village,67
51,-1514,-679,village,65
52,1323,-320,village,46
53,-1204,1606,village,1
54,-1998,1871,village,20
55,-1583,1269,village,76
56,-1782,384,village,30
57,-1726,-517,village,68
58,-1945,-871,village,22
59,1147,1837,village,5
60,-1440,-289,village,20
61,364,121,village,83
62,1160,-1957,village,92
63,-756,-431,village,40
64,1533,-107,village,72
65,-1196,243,village,47
66,603,-917,village,66
67,554,1912,village,30
68,-890,-1053,village,12
69,-1706,-1848,village,38
70,-861,573,village,98
71,79,1184,village,69
72,-1960,-1334,village,79
73,-435,1866,village,46
74,100,913,village,88
75,-1698,1403,village,56
76,-388,-1230,village,93
77,1696,1591,village,85
78,1648,-1026,village,3
79,-775,1891,village,99
80,-387,1089,village,66
81,-1807,-237,village,88
82,-1248,-1892,village,81
83,-573,-1231,village,57
84,1942,1071,village,24
85,629,399,village,16
86,-708,-1183,village,58
87,-1037,1788,village,63
88,-756,-436,village,96
89,-315,-535,village,11
90,1169,1595,village,38
91,-1095,388,village,62
92,-1819,1160,village,88
93,-30,1367,village,48
94,1526,-443,village,93
95,126,-285,village,67
96,-943,-1591,village,63
97,-1821,1216,village,62
98,-1114,-705,village,94
99,-1900,1437,village,94
100,1084,875,village,2
101,-373,-177,village,4
102,-1576,-832,village,27
103,40,1423,village,62
104,5,-918,village,29
105,-302,692,village,50
106,1125,715,village,36
107,733,-1816,village,40
108,-835,-261,village,8
109,-844,1163,village,61
110,1159,-1481,village,98
111,-706,151,village,7
112,-797,262,village,56
113,1262,1379,village,27
114,-416,-1830,village,6
115,81,-886,village,96
116,-82,-1162,village,64
117,-1605,-1160,village,6
118,240,-744,village,95
119,1641,-1698,village,61
120,1294,-899,village,85
121,1541,93,village,19
122,-16,-402,village,93
123,-1475,527,village,3
124,88,199,village,16
125,-440,1917,village,48
126,1311,854,village,30
127,-566,-215,village,48
128,693,-810,village,88
129,-606,-279,village,26
130,-1278,-1015,village,83
131,1332,-603,village,77
132,-1965,-839,village,52
133,-849,627,village,98
134,-1935,1033,village,62
135,-1030,1828,village,51
136,-1013,1751,village,83
137,1354,-419,village,88
138,-505,-1657,village,39
139,975,1801,village,72
140,-722,551,village,78
141,-479,-1760,village,2
142,-229,-1349,village,48
143,-913,817,village,18
144,-468,-114,village,30
145,-1866,-1380,village,63
146,302,1347,village,15
147,-220,-947,village,69
148,-155,1613,village,3
149,-1572,1808,village,16
150,-1052,304,village,7
151,1620,-222,village,15
152,-818,-262,village,86
153,-366,1226,village,19
154,896,-1224,village,6
155,231,-552,village,22
156,398,1917,village,22
157,-1561,-1211,village,17
158,-626,987,village,18
159,-1468,-377,village,97
160,-543,-1877,village,64
161,649,-1093,village,92
162,-1889,-1828,village,91
163,1827,1025,village,76
164,-783,-1377,village,69
165,1966,-266,village,69
166,999,1191,village,3
167,1080,964,village,87
168,457,-1682,village,45
169,-402,167,village,61
170,405,-1304,village,78
171,-1926,-806,village,81
172,777,1476,village,67
173,1480,-692,village,23
174,-1562,403,village,17
175,-1737,653,village,50
176,-509,-634,village,22
177,-552,-1058,village,100
178,1198,454,village,67
179,1613,347,village,31
180,-1130,-1230,village,64
181,-330,1983,village,27
182,-324,293,village,35
183,1890,1758,village,85
184,279,-1841,village,97
185,1764,1659,village,98
186,-752,-1635,village,9
187,1820,-1799,village,71
188,1679,1175,village,17
189,-1004,-1151,village,10
190,897,1373,village,45
191,869,1976,village,15
192,-1743,1768,village,52
193,1982,1803,village,73
194,1308,87,village,67
195,-836,-1154,village,94
196,-761,-1559,village,18
197,1053,-1981,village,41
198,611,-805,village,46
199,1475,-1611,village,54
200,-280,-856,village,97
201,1656,1810,village,71
202,861,-1425,village,74
203,-1704,-1888,village,89
204,-445,1027,village,12
205,-1737,-909,village,72
206,-1052,1238,village,52
207,-1634,206,village,90
208,-1794,1795,village,54
209,-589,-703,village,24
210,1955,379,village,37
211,1592,256,village,72
212,1961,900,village,82
213,-1533,-332,village,10
214,1896,-115,village,15
215,-82,-452,village,69
216,1869,-542,village,25
217,-1665,86,village,47
218,-1918,-222,village,31
219,-1601,234,village,96
220,-1664,-1953,village,72
221,1344,-1953,village,21
222,-1762,-95,village,37
223,-1179,-459,village,93
224,-1225,1230,village,55
225,-1140,20,village,59
226,63,-1455,village,71
227,-1585,-613,village,86
228,-1035,-503,village,93
229,709,573,village,55
230,1200,1533,village,74
231,19,1728,village,25
232,-1016,-492,village,57
233,1061,238,village,76
234,-1769,-608,village,99
235,1361,-1689,village,100
236,1472,-1931,village,24
237,-735,-829,village,17
238,-1586,479,village,11
239,-1726,1177,village,56
240,793,1252,village,47
241,-331,-1607,village,92
242,897,-493,village,89
243,-492,1010,village,10
244,-168,-932,village,72
245,485,-275,village,92
246,-670,-877,village,12
247,717,-1298,village,2
248,-1747,1521,village,39
249,670,-72,village,18
250,-594,-643,village,15
251,1957,-1599,village,22
252,-1181,1888,village,58
253,838,-564,village,36
254,-945,17,village,48
255,814,1439,village,59
256,-69,1869,village,93
257,-634,-1315,village,96
258,-425,-1758,village,80
259,-246,696,village,3
260,-925,-1236,village,31
261,1699,-1537,village,22
262,-1764,1980,village,48
263,900,553,village,51
264,32,-459,village,11
265,423,1219,village,69
266,-664,-1005,village,95
267,1560,-242,village,21
268,1179,1683,village,28
269,1470,688,village,80
270,-1017,1955,village,80
271,-180,-1221,village,88
272,-1213,85,village,28
273,1164,1608,village,98
274,-1720,508,village,55
275,1022,-1874,village,100
276,996,370,village,96
277,-26,472,village,41
278,-679,1410,village,60
279,-1246,1070,village,84
280,90,-1520,village,13
281,-1240,489,village,9
282,-1662,918,village,18
283,107,62,village,64
284,440,406,village,82
285,260,-152,village,45
286,-1471,-417,village,66
287,570,-640,village,66
288,-1620,329,village,9
289,349,1072,village,42
290,1535,-1906,village,30
291,-1037,439,village,3
292,613,-922,village,7
293,866,-440,village,90
294,295,-947,village,69
295,-533,890,village,36
296,-188,-923,village,95
297,521,-1585,village,26
298,-1892,884,village,50
299,761,1560,village,55
300,1082,32,village,88
301,-1843,856,village,2
302,-345,562,village,15
303,-1761,1075,village,5
304,-1667,374,village,23
305,-882,-1075,village,70
306,1177,1188,village,12
307,-1318,1704,village,37
308,1135,7,village,78
309,249,-251,village,77
310,515,544,village,8
311,1544,-325,village,55
312,-1070,-1758,village,52
313,1914,1579,village,21
314,1970,-1724,village,48
315,779,1686,village,67
316,-1966,-1809,village,36
317,-1367,684,village,50
318,1794,-264,village,93
319,-285,400,village,52
320,-428,1817,village,47
321,1762,-1116,village,11
322,-1801,-644,village,53
323,1688,138,village,1
324,885,1609,village,78
325,-949,-635,village,63
326,-1417,750,village,96
327,117,1525,village,54
328,-392,-592,village,23
329,-395,-1706,village,36
330,1936,1945,village,89
331,1100,-1067,village,61
332,102,1817,village,90
333,-1997,-1085,village,49
334,-1690,-1360,village,32
335,-1932,-313,village,56
336,1159,516,village,78
337,-411,-42,village,11
338,-1615,65,village,5
339,443,1846,village,17
340,1569,-1135,village,86
341,-1443,199,village,80
342,-1677,1544,village,2
343,-669,-660,village,32
344,-302,-830,village,37
345,-1488,190,village,35
346,1407,1745,village,90
347,420,890,village,91
348,1475,-1003,village,50
349,-1397,1991,village,51
350,-1658,1425,village,78
351,-478,-1311,village,36
352,19,585,village,32
353,-305,-1668,village,39
354,-1632,1485,village,7
355,-217,1711,village,94
356,1724,-1696,village,100
357,-988,-521,village,42
358,522,548,village,55
359,1645,-444,village,17
360,880,1538,village,87
361,-12,-1718,village,98
362,1571,983,village,3
363,-987,351,village,50
364,929,-1764,village,75
365,-958,910,village,73
366,1693,-552,village,95
367,1449,-549,village,99
368,425,1042,village,44
369,834,-1230,village,87
370,1396,-964,village,32
371,-1945,998,village,84
372,-1752,-1318,village,7
373,927,-514,village,55
374,-450,-280,village,26
375,885,-52,village,89
376,417,776,village,82
377,1966,1482,village,87
378,-1404,623,village,80
379,863,1401,village,90
380,-1773,-1394,village,36
381,1685,-226,village,64
382,-1245,-1168,village,10
383,366,-1939,village,41
384,161,1830,village,31
385,-1683,-318,village,26
386,1253,-1041,village,39
387,1310,-261,village,38
388,1988,-1485,village,15
389,-1119,1555,village,31
390,1939,-590,village,92
391,367,888,village,64
392,-768,-1325,village,24
393,-730,-1940,village,29
394,1206,-1377,village,90
395,503,-1824,village,52
396,974,731,village,14
397,-1544,-691,village,24
398,-1614,636,village,20
399,-1869,1144,village,37
400,-1679,158,village,57
401,431,1250,village,54
402,-1520,1338,village,69
403,720,1604,village,73
404,-633,37,village,36
405,1527,-1545,village,20
406,207,781,village,4
407,1801,-1129,village,47
408,-556,-300,village,4
409,1406,-1805,village,77
410,-1436,-1021,village,29
411,-521,-1642,village,16
412,-898,343,village,83
413,-1944,1262,village,12
414,-1263,-246,village,44
415,-983,-1856,village,89
416,-1003,1881,village,25
417,1492,1208,village,36
418,434,-1276,village,41
419,993,-1975,village,70
420,-469,1554,village,37
421,-750,-376,village,87
422,1485,1196,village,32
423,888,1583,village,44
424,-1032,1756,village,40
425,-1327,145,village,10
426,-1200,-1545,village,84
427,-852,891,village,29
428,1592,349,village,72
429,1405,-1325,village,43
430,-1963,1438,village,47
431,-951,906,village,55
432,-180,-1654,village,7
433,1597,538,village,65
434,1926,-804,village,31
435,-82,-1365,village,7
436,-465,-1357,village,27
437,-471,-904,village,43
438,149,186,village,55
439,1355,-1380,village,78
440,939,844,village,69
441,-1219,-1245,village,22
442,-64,-1527,village,77
443,1342,-119,village,74
444,-99,-785,village,14
445,802,-1499,village,41
446,1205,516,village,47
447,-1529,-590,village,79
448,-1126,-1960,village,98
449,-75,-1826,village,16
450,892,628,village,66
451,-744,-481,village,41
452,1629,1378,village,58
453,1831,78,village,27
454,-575,1756,village,46
455,792,-8,village,36
456,516,-1821,village,82
457,1211,1547,village,5
458,1910,1481,village,3
459,700,1299,village,74
460,166,-1859,village,46
461,-1136,-680,village,69
462,532,-1376,village,33
463,-1371,-1587,village,93
464,1312,-1315,village,39
465,-1178,-1755,village,42
466,-1555,252,village,57
467,725,398,village,53
468,-300,-1155,village,59
469,1359,-1178,village,4
470,693,1033,village,75
471,-574,1548,village,73
472,471,-1040,village,64
473,-1438,621,village,10
474,-1707,-1265,village,37
475,-236,232,village,65
476,-410,1037,village,73
477,71,455,village,92
478,-659,751,village,78
479,-384,-1198,village,6
480,-285,1635,village,44
481,-717,281,village,19
482,-933,-1903,village,18
483,1271,-1465,village,70
484,89,1255,village,23
485,1796,280,village,22
486,-227,-943,village,90
487,1223,-372,village,27
488,1184,1475,village,84
489,-1171,1977,village,91
490,-429,-778,village,63
491,-21,972,village,14
492,-1615,1294,village,82
493,-895,-296,village,30
494,1369,-1471,village,60
495,1828,1765,village,4
496,-23,-1425,village,33
497,1086,575,village,29
498,853,1622,village,24
499,-518,-1209,village,50
500,-1189,512,resupply,0
501,-1494,-1527,resupply,0
502,-1558,1265,resupply,0
503,666,459,resupply,0
504,-36,325,resupply,0
505,-263,-1195,resupply,0
506,-64,1286,resupply,0
507,266,-1530,resupply,0
508,-1954,849,resupply,0
509,-654,66,resupply,0
510,-402,-258,resupply,0
511,-82,1601,resupply,0
512,489,-592,resupply,0
513,1132,150,resupply,0
514,-329,449,resupply,0
515,-274,88,resupply,0
516,1404,-1539,resupply,0
517,174,1230,resupply,0
518,-373,-1525,resupply,0
519,586,-1095,resupply,0
