,From,To
0,100,73
1,26,100
2,100,26
3,79,100
4,100,79
5,1,100
6,100,1
7,41,100
8,100,41
9,99,100
10,100,99
11,87,100
12,100,87
13,88,100
14,101,88
15,37,101
16,101,37
17,28,101
18,101,28
19,52,101
20,101,52
21,86,101
22,101,86
23,32,101
24,101,32
25,77,101
26,101,77
27,44,101
28,102,44
29,97,102
30,102,97
31,29,102
32,102,29
33,15,102
34,102,15
35,63,102
36,102,63
37,17,102
38,102,17
39,96,102
40,100,96
41,43,100
42,100,43
43,30,100
44,100,30
45,7,100
46,100,7
47,47,100
48,100,47
49,54,100
50,100,54
51,61,100
52,100,61
53,14,100
54,100,14
55,35,100
56,67,35
57,85,67
58,100,85
59,5,100
60,20,5
61,72,20
62,100,72
63,48,100
64,101,48
65,74,101
66,101,74
67,45,101
68,101,45
69,18,101
70,101,18
71,50,101
72,101,50
73,55,101
74,101,55
75,11,101
76,101,11
77,93,101
78,101,93
79,8,101
80,101,8
81,27,101
82,10,27
83,53,10
84,101,53
85,90,101
86,21,90
87,25,21
88,101,25
89,34,101
90,66,34
91,102,66
92,94,102
93,62,94
94,102,62
95,3,102
96,4,3
97,102,4
98,92,102
99,81,92
100,56,81
101,102,56
102,24,102
103,59,24
104,0,59
105,39,0
106,0,39
