,From,To
0,508,217
1,56,508
2,500,56
3,400,500
4,500,400
5,28,500
6,500,28
7,207,500
8,500,207
9,304,500
10,500,304
11,219,500
12,500,219
13,427,500
14,514,427
15,158,514
16,506,158
17,243,506
18,506,243
19,204,506
20,511,204
21,278,511
22,511,278
23,24,511
24,511,24
25,339,511
26,511,339
27,156,511
28,511,156
29,454,511
30,511,454
31,471,511
32,511,471
33,125,511
34,511,125
35,43,511
36,517,43
37,391,517
38,517,391
39,74,517
40,506,74
41,476,506
42,153,476
43,506,153
44,80,506
45,18,80
46,506,18
47,491,506
48,517,491
49,10,517
50,401,10
51,265,401
52,517,265
53,347,517
54,368,347
55,289,368
56,517,289
57,146,517
58,511,146
59,181,511
60,511,181
61,73,511
62,511,73
63,320,511
64,511,320
65,49,511
66,511,49
67,44,511
68,256,44
69,511,256
70,384,511
71,332,384
72,231,332
73,511,231
74,420,511
75,480,420
76,355,480
77,148,355
78,33,148
79,511,33
80,29,511
81,327,29
82,103,327
83,506,103
84,93,506
85,71,93
86,484,71
87,517,484
88,406,517
89,504,406
90,61,504
91,503,61
92,376,503
93,503,376
94,396,503
95,450,396
96,503,450
97,284,503
98,310,284
99,358,310
100,503,358
101,229,503
102,467,229
103,85,467
104,503,85
105,263,503
106,513,263
107,387,513
108,513,387
109,497,513
110,513,497
111,121,513
112,513,121
113,6,513
114,513,6
115,336,513
116,513,336
117,8,513
118,375,8
119,513,375
120,446,513
121,178,446
122,513,178
123,455,513
124,37,455
125,513,37
126,443,513
127,194,443
128,513,194
129,42,513
130,308,42
131,300,308
132,513,300
133,46,513
134,276,46
135,233,276
136,513,233
137,249,513
138,512,249
139,285,512
140,512,285
141,373,512
142,512,373
143,242,512
144,512,242
145,309,512
146,512,309
147,293,512
148,512,293
149,253,512
150,512,253
151,95,512
152,510,95
153,343,510
154,510,343
155,209,510
156,505,209
157,195,505
158,505,195
159,246,505
160,505,246
161,115,505
162,505,115
163,490,505
164,505,490
165,444,505
166,505,444
167,86,505
168,518,86
169,392,518
170,518,392
171,164,518
172,518,164
173,449,518
174,507,449
175,383,507
176,507,383
177,395,507
178,507,395
179,361,507
180,518,361
181,160,518
182,518,160
183,196,518
184,518,196
185,257,518
186,505,257
187,104,505
188,505,104
189,344,505
190,505,344
191,437,505
192,505,437
193,200,505
194,505,200
195,266,505
196,177,266
197,505,177
198,244,505
199,296,244
200,486,296
201,505,486
202,147,505
203,142,147
204,505,142
205,435,505
206,116,435
207,271,116
208,505,271
209,83,505
210,76,83
211,479,76
212,468,479
213,505,468
214,499,505
215,351,499
216,436,351
217,518,436
218,186,518
219,411,186
220,138,411
221,518,138
222,114,518
223,141,114
224,258,141
225,329,258
226,518,329
227,30,518
228,432,30
229,38,432
230,353,38
231,241,353
232,518,241
233,442,518
234,507,442
235,460,507
236,184,460
237,507,184
238,456,507
239,14,456
240,507,14
241,297,507
242,168,297
243,507,168
244,496,507
245,226,496
246,280,226
247,507,280
248,16,507
249,519,16
250,445,519
251,519,445
252,202,519
253,519,202
254,19,519
255,519,19
256,154,519
257,519,154
258,294,519
259,519,294
260,369,519
261,247,369
262,519,247
263,462,519
264,170,462
265,418,170
266,519,418
267,472,519
268,292,472
269,161,292
270,32,161
271,519,32
272,66,519
273,512,66
274,118,512
275,155,118
276,512,155
277,245,512
278,2,245
279,512,2
280,128,512
281,198,128
282,287,198
283,512,287
284,264,512
285,510,264
286,250,510
287,510,250
288,232,510
289,509,232
290,493,509
291,509,493
292,108,509
293,254,108
294,509,254
295,225,509
296,500,225
297,288,500
298,500,288
299,7,500
300,514,7
301,478,514
302,514,478
303,295,514
304,259,295
305,105,259
306,514,105
307,302,514
308,504,302
309,283,504
310,438,283
311,504,438
312,352,504
313,477,352
314,277,477
315,504,277
316,124,504
317,515,124
318,26,515
319,515,26
320,169,515
321,475,169
322,182,475
323,319,182
324,514,319
325,140,514
326,481,140
327,111,481
328,15,111
329,509,15
330,152,509
331,510,152
332,122,510
333,510,122
334,451,510
335,510,451
336,88,510
337,510,88
338,63,510
339,510,63
340,215,510
341,510,215
342,421,510
343,510,421
344,328,510
345,510,328
346,176,510
347,40,176
348,510,40
349,89,510
350,39,89
351,510,39
352,101,510
353,127,101
354,129,127
355,408,129
356,374,408
357,510,374
358,144,510
359,337,144
360,31,337
361,404,31
362,509,404
363,112,509
364,500,112
365,431,500
366,500,431
367,466,500
368,500,466
369,365,500
370,502,365
371,208,502
372,502,208
373,9,502
374,502,9
375,149,502
376,502,149
377,192,502
378,502,192
379,389,502
380,502,389
381,206,502
382,502,206
383,53,502
384,502,53
385,430,502
386,502,430
387,413,502
388,502,413
389,224,502
390,502,224
391,99,502
392,248,99
393,502,248
394,307,502
395,47,307
396,502,47
397,342,502
398,354,342
399,75,354
400,502,75
401,279,502
402,282,279
403,508,282
404,399,508
405,97,399
406,239,97
407,502,239
408,350,502
409,402,350
410,492,402
411,55,492
412,502,55
413,92,502
414,303,92
415,508,303
416,274,508
417,175,274
418,508,175
419,134,508
420,371,134
421,301,371
422,298,301
423,508,298
424,398,508
425,500,398
426,345,500
427,500,345
428,272,500
429,500,272
430,143,500
431,500,143
432,341,500
433,500,341
434,425,500
435,500,425
436,174,500
437,500,174
438,133,500
439,500,133
440,412,500
441,500,412
442,70,500
443,500,70
444,326,500
445,500,326
446,238,500
447,123,238
448,500,123
449,20,500
450,65,20
451,500,65
452,317,500
453,473,317
454,378,473
455,500,378
456,0,500
457,17,0
458,281,17
459,500,281
460,363,500
461,150,363
462,91,150
463,291,91
464,0,291
