index,x,y,type,patient_count
0,-1661,-832,village,50
1,123,1260,village,4
2,453,-875,village,12
3,-787,-535,village,50
4,-1041,-1580,village,91
5,-1110,-1080,village,14
6,-673,545,village,36
7,-529,-1583,village,64
8,-1905,-1410,village,14
9,1325,721,village,54
10,781,-814,village,86
11,-62,-1228,village,53
12,458,-225,village,38
13,1710,1692,village,11
14,1435,325,village,34
15,-891,-811,village,85
16,-1891,663,village,81
17,1944,695,village,20
18,-1902,1855,village,82
19,19,262,village,43
20,-1013,633,village,60
21,-1314,1683,village,87
22,1731,-326,village,16
23,1443,-1579,village,59
24,456,1232,village,33
25,1318,846,village,7
26,-1551,-1998,village,36
27,-320,-1105,village,78
28,-843,377,village,49
29,-746,574,village,17
30,-1203,150,village,66
31,-1723,1869,village,99
32,1934,86,village,59
33,1904,1047,village,58
34,914,-997,village,37
35,523,515,village,49
36,751,-1979,village,37
37,497,1199,village,77
38,-1779,-417,village,51
39,-1369,1270,village,9
40,708,-925,village,6
41,1505,1696,village,18
42,914,288,village,91
43,550,319,village,69
44,903,962,village,21
45,-1669,1063,village,44
46,1741,-897,village,25
47,-1673,510,village,46
48,-1020,1891,village,82
49,790,-74,village,88
50,289,1192,village,76
51,-770,-1789,village,79
52,1720,1328,village,50
53,648,259,village,16
54,-290,563,village,70
55,-295,-1872,village,99
56,-1106,-50,village,24
57,-1362,-271,village,69
58,715,-1614,village,43
59,614,1802,village,30
60,1114,-1380,village,61
61,-1424,1917,village,16
62,-1126,1481,village,8
63,1408,1576,village,90
64,900,1167,village,32
65,1556,-1310,village,18
66,759,-829,village,10
67,-42,-1660,village,69
68,-1525,1915,village,62
69,-1961,-644,village,10
70,141,1368,village,95
71,589,-1095,village,87
72,1125,-114,village,66
73,-57,-9,village,32
74,283,1555,village,80
75,-967,-383,village,72
76,1418,-1405,village,96
77,676,-1300,village,56
78,1856,658,village,97
79,280,1107,village,94
80,1055,-628,village,47
81,1913,1285,village,24
82,513,1510,village,7
83,1065,-1785,village,65
84,631,-867,village,87
85,-1863,1532,village,19
86,-1976,505,village,22
87,-1171,1778,village,38
88,-656,-206,village,40
89,880,1584,village,80
90,669,155,village,96
91,698,-1902,village,36
92,-723,-1203,village,72
93,-1990,-740,village,81
94,280,756,village,83
95,335,-1811,village,82
96,1269,-1390,village,95
97,435,-379,village,58
98,1645,321,village,13
99,295,-1109,village,54
100,-1639,1386,village,16
101,1671,-774,village,43
102,122,-1724,village,53
103,439,1475,village,78
104,889,42,village,76
105,69,-1018,village,62
106,1446,1482,village,23
107,-1661,-1511,village,63
108,-1076,-1768,village,38
109,-1302,1606,village,53
110,1765,1337,village,13
111,-1383,-865,village,33
112,1070,402,village,80
113,-1549,232,village,39
114,-491,-1239,village,98
115,-658,1009,village,73
116,-1628,-745,village,52
117,-536,533,village,96
118,1097,1819,village,91
119,130,1576,village,53
120,-1004,-1245,village,100
121,395,787,village,54
122,-189,1252,village,58
123,-429,-852,village,3
124,882,696,village,48
125,-1613,-1225,village,16
126,-912,163,village,86
127,-865,-1810,village,9
128,-279,-1786,village,59
129,213,935,village,48
130,-612,262,village,7
131,-1013,-711,village,8
132,-1962,758,village,30
133,-1515,-799,village,14
134,-1421,-866,village,50
135,622,-318,village,58
136,1153,-1963,village,75
137,-153,-1131,village,9
138,-1777,50,village,60
139,1848,384,village,30
140,302,644,village,36
141,-762,-683,village,29
142,408,1121,village,57
143,1389,687,village,54
144,1914,360,village,18
145,756,-71,village,29
146,958,814,village,2
147,1467,-1543,village,45
148,539,-376,village,15
149,1253,-1421,village,11
150,-348,-269,village,79
151,-164,-875,village,15
152,790,-1115,village,73
153,39,-1953,village,48
154,-202,-738,village,21
155,-1693,1713,village,10
156,-1859,481,village,59
157,1260,-1063,village,29
158,-622,-1920,village,34
159,767,-182,village,9
160,-516,-1399,village,65
161,-1505,579,village,88
162,674,-1923,village,16
163,-1238,591,village,49
164,29,-1868,village,31
165,1885,714,village,10
166,581,1353,village,32
167,-600,590,village,27
168,378,1174,village,8
169,1424,1644,village,23
170,595,530,village,25
171,704,-1160,village,6
172,1560,-842,village,17
173,-613,532,village,38
174,-418,1572,village,26
175,257,-1186,village,55
176,458,1736,village,22
177,-1751,1525,village,59
178,-673,1379,village,66
179,-381,-1298,village,35
180,-1035,-1658,village,78
181,1355,1554,village,78
182,641,-1510,village,96
183,-244,-1652,village,25
184,-1188,823,village,57
185,1727,631,village,60
186,847,-1834,village,35
187,1933,1854,village,26
188,62,1008,village,24
189,1756,-360,village,52
190,1090,-552,village,30
191,543,-1388,village,7
192,-394,-120,village,36
193,939,-461,village,42
194,-1402,-234,village,64
195,-1205,1691,village,97
196,1090,-1999,village,61
197,317,1018,village,33
198,-1321,-1347,village,95
199,622,1455,village,15
200,1946,503,village,97
201,-169,344,village,1
202,697,-887,village,5
203,1750,-1493,village,33
204,634,687,village,24
205,1784,-318,village,62
206,253,-1742,village,99
207,-92,1956,village,44
208,-175,-1010,village,69
209,1925,320,village,13
210,-1268,-263,village,26
211,268,-1778,village,68
212,401,-1858,village,76
213,838,-283,village,85
214,1752,-955,village,2
215,-1597,796,village,45
216,-730,1643,village,10
217,-1764,-1269,village,44
218,-771,959,village,79
219,1176,452,village,59
220,-1470,52,village,61
221,127,-785,village,4
222,-876,547,village,10
223,1524,-1235,village,25
224,-1831,782,village,54
225,1114,1761,village,65
226,-133,-840,village,7
227,-1108,1011,village,83
228,-1047,442,village,68
229,5,696,village,93
230,479,-370,village,99
231,-1762,1925,village,64
232,208,-1165,village,54
233,-1400,422,village,70
234,651,877,village,13
235,821,1303,village,29
236,1323,1489,village,87
237,1731,-1919,village,72
238,1651,785,village,46
239,-1418,-1549,village,86
240,-426,1830,village,16
241,-1147,896,village,81
242,327,-1327,village,64
243,-1003,589,village,54
244,-1702,-783,village,5
245,-170,-45,village,2
246,-53,-251,village,8
247,1840,-1780,village,86
248,-428,-272,village,82
249,-105,1859,village,100
250,685,512,village,36
251,-288,1503,village,66
252,1497,541,village,19
253,-348,530,village,83
254,-1710,202,village,13
255,-1220,1093,village,87
256,297,1574,village,2
257,1496,-811,village,9
258,1059,1099,village,57
259,271,297,village,94
260,-1694,-416,village,1
261,784,-1864,village,31
262,-367,1329,village,82
263,-1986,896,village,70
264,470,355,village,40
265,-278,-1979,village,80
266,-1303,-89,village,25
267,520,1847,village,67
268,871,81,village,38
269,-861,1933,village,13
270,-660,1546,village,4
271,1165,663,village,45
272,1681,-858,village,66
273,-1443,-653,village,12
274,767,1197,village,11
275,1840,-1649,village,59
276,1460,62,village,75
277,-1498,-1382,village,44
278,1387,-1714,village,18
279,-1775,1075,village,54
280,-663,1828,village,51
281,-571,1057,village,93
282,-360,1077,village,92
283,937,-794,village,40
284,-1367,-1177,village,91
